Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1110137  Y 1218960
X 1118011  Y 1224078
X 1102263  Y 1224078
X 1110137  Y 1224472
X 1118011  Y 1229590
X 1102263  Y 1229590
X 1110137  Y 1229984
X 1102263  Y 1235102
X 1118011  Y 1235102
X 1110137  Y 1235495
X 1118011  Y 1240613
X 1102263  Y 1240613
X 1110137  Y 1241007
X 1118011  Y 1246125
X 1102263  Y 1246125
X 1110137  Y 1246519
X 1118011  Y 1251637
X 1102263  Y 1251637
X 1110137  Y 1252031
X 1102263  Y 1257149
X 1118011  Y 1257149
X 1110137  Y 1257543
X 1118011  Y 1262661
X 1102263  Y 1262661
X 1110137  Y 1263054
X 1118011  Y 1268173
X 1102263  Y 1268173
X 1110137  Y 1268566
X 1118011  Y 1273684
X 1102263  Y 1273684
X 1110137  Y 1274078
X 1118011  Y 1279196
X 1102263  Y 1279196
X 1110137  Y 1279590
X 1125886  Y 1279590
X 1141830  Y 1279196
X 1125886  Y 1274078
X 1141830  Y 1273685
X 1125886  Y 1268566
X 1141830  Y 1268173
X 1125886  Y 1263054
X 1141830  Y 1262661
X 1125886  Y 1257543
X 1141830  Y 1257149
X 1125886  Y 1252031
X 1141830  Y 1251637
X 1125886  Y 1246519
X 1141830  Y 1246125
X 1125886  Y 1241007
X 1141830  Y 1240614
X 1125886  Y 1235495
X 1141830  Y 1235102
X 1125886  Y 1229984
X 1141830  Y 1229590
X 1125886  Y 1224472
X 1141830  Y 1224078
X 1125886  Y 1218960
X 1141830  Y 1218566
X 1125886  Y 1213448
X 1141830  Y 1213055
X 1125886  Y 1207936
X 1141830  Y 1207543
X 1125886  Y 1202425
X 1141830  Y 1202031
X 1157578  Y 1202031
X 1165452  Y 1202425
X 1149704  Y 1202425
X 1157578  Y 1207543
X 1165452  Y 1207937
X 1149704  Y 1207937
X 1157578  Y 1213055
X 1165452  Y 1213448
X 1149704  Y 1213448
X 1157578  Y 1218566
X 1165452  Y 1218960
X 1149704  Y 1218960
X 1157578  Y 1224078
X 1165452  Y 1224472
X 1149704  Y 1224472
X 1157578  Y 1229590
X 1165452  Y 1229984
X 1149704  Y 1229984
X 1157578  Y 1235102
X 1165452  Y 1235496
X 1149704  Y 1235496
X 1157578  Y 1240614
X 1149704  Y 1241007
X 1165452  Y 1241007
X 1157578  Y 1246125
X 1165452  Y 1246519
X 1149704  Y 1246519
X 1157578  Y 1251637
X 1165452  Y 1252031
X 1149704  Y 1252031
X 1157578  Y 1257149
X 1165452  Y 1257543
X 1149704  Y 1257543
X 1157578  Y 1262661
X 1165452  Y 1263055
X 1149704  Y 1263055
X 1157578  Y 1268173
X 1149704  Y 1268566
X 1165452  Y 1268566
X 1157578  Y 1273685
X 1149704  Y 1274078
X 1165452  Y 1274078
X 1157578  Y 1279196
X 1149704  Y 1279590
X 1165452  Y 1279590
X 1181200  Y 1279590
X 1173326  Y 1279196
X 1189074  Y 1279196
X 1181200  Y 1274078
X 1173326  Y 1273685
X 1189074  Y 1273685
X 1181200  Y 1268566
X 1173326  Y 1268173
X 1189074  Y 1268173
X 1181200  Y 1263055
X 1189074  Y 1262661
X 1173326  Y 1262661
X 1181200  Y 1257543
X 1189074  Y 1257149
X 1173326  Y 1257149
X 1181200  Y 1252031
X 1173326  Y 1251637
X 1189074  Y 1251637
X 1181200  Y 1246519
X 1173326  Y 1246125
X 1189074  Y 1246125
X 1181200  Y 1241007
X 1189074  Y 1240614
X 1173326  Y 1240614
X 1181200  Y 1235496
X 1189074  Y 1235102
X 1173326  Y 1235102
X 1181200  Y 1229984
X 1173326  Y 1229590
X 1189074  Y 1229590
X 1181200  Y 1224472
X 1173326  Y 1224078
X 1189074  Y 1224078
X 1181200  Y 1218960
X 1173326  Y 1218566
X 1189074  Y 1218566
X 1181200  Y 1213448
X 1173326  Y 1213055
X 1189074  Y 1213055
X 1181200  Y 1207937
X 1189074  Y 1207543
X 1173326  Y 1207543
X 1181200  Y 1202425
X 1189074  Y 1202031
X 1173326  Y 1202031
X 1204822  Y 1202031
X 1212696  Y 1202425
X 1196948  Y 1202425
X 1204822  Y 1207543
X 1212696  Y 1207937
X 1196948  Y 1207937
X 1204822  Y 1213055
X 1212696  Y 1213448
X 1196948  Y 1213448
X 1204822  Y 1218566
X 1212696  Y 1218960
X 1196948  Y 1218960
X 1204822  Y 1224078
X 1212696  Y 1224472
X 1196948  Y 1224472
X 1204822  Y 1229590
X 1212696  Y 1229984
X 1196948  Y 1229984
X 1204822  Y 1235102
X 1196948  Y 1235496
X 1212696  Y 1235496
X 1204822  Y 1240614
X 1212696  Y 1241007
X 1196948  Y 1241007
X 1204822  Y 1246125
X 1212696  Y 1246519
X 1196948  Y 1246519
X 1204822  Y 1251637
X 1196948  Y 1252031
X 1212696  Y 1252031
X 1204822  Y 1257149
X 1212696  Y 1257543
X 1196948  Y 1257543
X 1204822  Y 1262661
X 1212696  Y 1263055
X 1196948  Y 1263055
X 1204822  Y 1268173
